filename,pre_onset_1_average,pre_onset_top_speed,post_onset_1_average,post_onset_top_speed,top_speed_difference,difference,ZT,creation_time,abs_difference,genotype,sleep_condition
24B11_g4_Female_mating_sd_1.csv,8.38928571428571,19.34,3.17904761904762,31.23,11.89,-5.2102380952381,483,27.05.2024 17:03:09,5.2102380952381,24B11_G4,SD
24B11_g4_Female_mating_sd_17.csv,0.26297619047619,20.86,9.95047619047619,27.58,6.72,9.6875,479,27.05.2024 16:59:14,9.6875,24B11_G4,SD
24B11_g4_Female_SD_mating_2.csv,0,0,0,0,0,0,336,16.05.2024 14:36:46,0,24B11_G4,SD
24B11_g4_female_mating_SD_10.csv,0,0,0.415119047619048,4.24,4.24,0.415119047619048,505,17.05.2024 17:25:23,0.415119047619048,24B11_G4,SD
24B11_g4_female_mating_SD_5.csv,0,0,2.21119047619048,27.59,27.59,2.21119047619048,459,16.05.2024 16:39:20,2.21119047619048,24B11_G4,SD
24B11_g4_female_mating_SD_6.csv,3.62595238095238,11.09,4.57023529411765,12.52,1.43,0.944282913165265,485,17.05.2024 17:05:42,0.944282913165265,24B11_G4,SD
24b11_g4_female_SD_16.csv,2.842,23.77,1.23493975903614,28.2,4.43,-1.60706024096386,237,27.05.2024 12:57:02,1.60706024096386,24B11_G4,SD
24B11_g4_Female_mating_sd_20.csv,4.01559523809524,16.69,1.27626506024096,41.4,24.71,-2.73933017785428,491,27.05.2024 17:11:41,2.73933017785428,24B11_G4,SD
24b11_g4_female_SD_15.csv,0,0,0,0,0,0,233,27.05.2024 12:53:39,0,24B11_G4,SD
24B11_g4_Female_mating_sd_18.csv,13.3092857142857,28.08,5.03855421686747,31.26,3.18,-8.27073149741824,487,27.05.2024 17:07:09,8.27073149741824,24B11_G4,SD
24B11_g4_female_mating_SD_8.csv,1.28821428571429,3.86,1.35666666666667,34.85,30.99,0.0684523809523812,495,17.05.2024 17:15:08,0.0684523809523812,24B11_G4,SD
24B11_g4_female_mating_SD_9.csv,4.19607142857143,17.61,1.62428571428571,11.44,-6.17,-2.57178571428571,499,17.05.2024 17:19:54,2.57178571428571,24B11_G4,SD
RDL_RNAi_Female_mating_RESTED_10.csv,6.19690476190476,26.54,13.3194047619048,36.75,10.21,7.1225,434,27.05.2024 16:14:03,7.1225,RDL_RNAi,rested
RDL_RNAI_female_mating_9.csv,9.98809523809524,32.39,1.77440476190476,13.74,-18.65,-8.21369047619048,457,21.05.2024 16:37:10,8.21369047619048,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_11.csv,8.99917647058824,19.16,11.2090361445783,33.26,14.1,2.20985967399008,437,27.05.2024 16:17:24,2.20985967399008,RDL_RNAi,rested
RDL_RNAI_female_mating_1.csv,9.98702380952381,57.64,9.93494117647059,38.43,-19.21,-0.0520826330532227,372,21.05.2024 15:12:46,0.0520826330532227,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_12.csv,7.71,20.73,6.16493975903614,23.21,2.48,-1.54506024096386,441,27.05.2024 16:21:04,1.54506024096386,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_15.csv,0,0,3.63357142857143,19.73,19.73,3.63357142857143,454,27.05.2024 16:34:12,3.63357142857143,RDL_RNAi,rested
RDL_RNAI_female_mating_4.csv,6.75035714285714,23.85,11.7136144578313,33.9,10.05,4.96325731497418,411,21.05.2024 15:51:29,4.96325731497418,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_20.csv,12.5040963855422,44.92,12.3358823529412,28.94,-15.98,-0.168214032600989,473,27.05.2024 16:53:37,0.168214032600989,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_16.csv,2.28,20.18,9.10428571428572,18.74,-1.44,6.82428571428572,458,27.05.2024 16:38:29,6.82428571428572,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_14.csv,2.07482352941176,25.86,0.0275903614457831,1.51,-24.35,-2.04723316796598,450,27.05.2024 16:30:36,2.04723316796598,RDL_RNAi,rested
RDL_RNAI_female_mating_6.csv,11.2834523809524,45.4,10.3302380952381,26.84,-18.56,-0.953214285714285,425,21.05.2024 16:05:13,0.953214285714285,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_18.csv,3.11698795180723,28.77,8.37517647058823,43.24,14.47,5.258188518781,465,27.05.2024 16:45:03,5.258188518781,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_13.csv,3.50821428571429,12.91,2.99285714285714,10.32,-2.59,-0.515357142857143,447,27.05.2024 16:27:16,0.515357142857143,RDL_RNAi,rested
RDL_RNAI_female_mating_7.csv,10.2128235294118,39.98,1.74457831325301,15.26,-24.72,-8.46824521615875,431,21.05.2024 16:11:14,8.46824521615875,RDL_RNAi,rested
RDL_RNAI_female_mating_8.csv,9.82388235294117,22.26,6.58903614457831,34.58,12.32,-3.23484620836286,446,21.05.2024 16:26:12,3.23484620836286,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_19.csv,8.52493975903614,30.99,6.98564705882353,19.89,-11.1,-1.53929270021261,469,27.05.2024 16:49:19,1.53929270021261,RDL_RNAi,rested
RDL_RNAI_female_mating_3.csv,7.50764705882353,17.04,1.14168674698795,17.75,0.710000000000001,-6.36596031183558,407,21.05.2024 15:47:01,6.36596031183558,RDL_RNAi,rested
RDL_RNAi_Female_mating_RESTED_17.csv,4.79811764705883,24.21,6.60048192771084,50.87,26.66,1.80236428065202,461,27.05.2024 16:41:41,1.80236428065202,RDL_RNAi,rested
RDL_RNAI_female_mating_5.csv,7.01214285714286,36.29,9.76626506024096,35.62,-0.670000000000002,2.75412220309811,420,21.05.2024 16:00:28,2.75412220309811,RDL_RNAi,rested
RDL_RNAI_female_mating_2.csv,13.1339759036145,35.06,9.01623529411765,77.48,42.42,-4.11774060949681,378,21.05.2024 15:18:17,4.11774060949681,RDL_RNAi,rested
RDL_RNAi_final_three_rested_2.csv,4.72506024096386,40.41,1.56870588235294,14.46,-25.95,-3.15635435861091,404,28.05.2024 15:44:35,3.15635435861091,RDL_RNAi,rested
RDL_RNAi_final_three_rested_3.csv,4.60144578313253,20.56,5.92059523809524,34.42,13.86,1.31914945496271,409,28.05.2024 15:49:01,1.31914945496271,RDL_RNAi,rested
RDL_RNAi_final_three_rested_1.csv,0,0,0,0,0,0,393,28.05.2024 15:33:39,0,RDL_RNAi,rested
RDL_RNAi_round2_rested_05.csv,14.5721428571429,25.04,7.9421686746988,91.58,66.54,-6.62997418244406,233,30.05.2024 12:53:01,6.62997418244406,RDL_RNAi,rested
RDL_RNAi_round2_rested_06.csv,0,0,3.03168674698795,28.37,28.37,3.03168674698795,241,30.05.2024 13:01:37,3.03168674698795,RDL_RNAi,rested
RDL_RNAi_round2_rested_08.csv,9.88470588235294,24.84,13.5636144578313,65.65,40.81,3.67890857547839,248,30.05.2024 13:08:37,3.67890857547839,RDL_RNAi,rested
RDL_RNAi_round2_rested_02.csv,10.6084337349398,74.59,14.2596470588235,26.21,-48.38,3.65121332388378,210,30.05.2024 12:30:03,3.65121332388378,RDL_RNAi,rested
RDL_RNAi_round2_rested_01.csv,10.9754117647059,32.96,1.91369047619048,18.37,-14.59,-9.06172128851541,203,30.05.2024 12:23:05,9.06172128851541,RDL_RNAi,rested
RDL_RNAi_round2_rested_04.csv,12.9695238095238,33.99,11.3714117647059,32.96,-1.03,-1.59811204481792,220,30.05.2024 12:40:11,1.59811204481792,RDL_RNAi,rested
RDL_RNAi_round2_rested_07.csv,0,0,0,0,0,0,244,30.05.2024 13:04:37,0,RDL_RNAi,rested
RDL_RNAi_round2_rested_03.csv,8.77726190476191,22.54,10.2908333333333,30.09,7.55,1.51357142857143,215,30.05.2024 12:35:37,1.51357142857143,RDL_RNAi,rested
RDL_RNAi_round2_SD_3.csv,12.1229761904762,21.75,6.27297619047619,20.94,-0.809999999999999,-5.85,161,30.05.2024 11:41:46,5.85,RDL_RNAi,SD
