Object,genotype,sleep_latency,volume_percent_threshold,reaction,file,day,Unnamed: 7,CreationDate,ZT,Humidity,Fly_ID,cond,volume_percent_2sd_200ms,volume_percent_2sd_500ms,volume_percent_2sd_1s,censored
Object 3,canton_s,525.96,66.22,1,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_16_movement_thresholds.csv,13,,27/02/2026,,,93,sleeping,66.22,66.22,66.22,
Object 4,canton_s,401.46,15.33,1,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_16_movement_thresholds.csv,13,,27/02/2026,,,94,sleeping,15.33,15.33,15.33,
Object 1,canton_s,402.69,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_17_movement_thresholds.csv,13,,27/02/2026,,,95,sleeping,,,,
Object 3,canton_s,1353.07,67.7,1,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_17_movement_thresholds.csv,13,,27/02/2026,,,96,sleeping,67.7,67.7,67.7,
Object 1,hk,1283.86,6.89,1,/home/joeh/mutantscreen_round_two/55/asleep/55/hk_sleeping_friday_movement_thresholds.csv,14,,28/02/2026,18,,97,sleeping,6.89,6.89,6.89,
Object 4,hk,5333.57,14.22,1,/home/joeh/mutantscreen_round_two/55/asleep/55/hk_sleeping_friday_movement_thresholds.csv,14,,28/02/2026,18,,98,sleeping,14.22,14.22,14.22,
Object 1,hk,1289.37,13.55,1,/home/joeh/mutantscreen_round_two/55/asleep/55/hk_sleeping_saturdy_movement_thresholds.csv,14,,28/02/2026,5,,99,sleeping,13.55,13.55,13.55,
Object 6,hk,995.53,16.89,1,/home/joeh/mutantscreen_round_two/55/asleep/55/hk_sleeping_saturdy_movement_thresholds.csv,14,,28/02/2026,5,,100,sleeping,16.89,16.89,16.89,
Object 2,hk,16702.95,,0,/home/joeh/mutantscreen_round_two/55/asleep/55/sleeping_hk_saturday_round_2_movement_thresholds.csv,14,,28/02/2026,12,,101,sleeping,,,,
Object 5,canton_s,300.23,45.11,1,/home/joeh/mutantscreen_round_two/cs/sleeping/cs18_movement_thresholds.csv,15,,01/03/2026,6,,102,sleeping,,,,
Object 9,canton_s,1215.98,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs18_movement_thresholds.csv,15,,01/03/2026,6,,102,sleeping,,,,
Object 2,hk,460.27,43.11,1,/home/joeh/mutantscreen_round_two/55/asleep/55/sleeping_hk_sunday_movement_thresholds.csv,15,,01/03/2026,7,,103,sleeping,,,,
Object 4,hk,300.1,18.67,1,/home/joeh/mutantscreen_round_two/55/asleep/55/sleeping_hk_sunday_movement_thresholds.csv,15,,01/03/2026,7,,104,sleeping,,,,
Object 1,hk,1362.66,30,1,/home/joeh/mutantscreen_round_two/55/asleep/55/sleeping_hk_sunday2_movement_thresholds.csv,15,,,,,,,,,,
Object 3,hk,1462.82,,0,/home/joeh/mutantscreen_round_two/55/asleep/55/sleeping_hk_sunday2_movement_thresholds.csv,15,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 2,hk,4000,,,censored,,,,,,,,,,,
Object 2,hk,4000,,,censored,,,,,,,,,,,
Object 2,hk,4000,,,censored,,,,,,,,,,,
Object 2,hk,4000,,,censored,,,,,,,,,,,
Object 2,hk,4000,,,censored,,,,,,,,,,,
Object 2,hk,4000,,,censored,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 7,w1118,327.36,,0,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_1_movement_thresholds.csv,16,,05/03/2026,3,,105,sleeping,,,,
Object 8,w1118,498.89,,0,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_1_movement_thresholds.csv,16,,05/03/2026,3,,106,sleeping,,,,
Object 7,w1118,419.9,73.78,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_2_movement_thresholds.csv,16,,05/03/2026,3,,107,sleeping,,,,
Object 8,w1118,524.56,,0,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_2_movement_thresholds.csv,16,,05/03/2026,3,,108,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 4,inc,7100.87,14,1,/home/joeh/mutantscreen_round_two/inc/sleeping/inc/sleeping_inc_1_movement_thresholds.csv,16,,05/03/2026,6,,109,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 3,w1118,333.26,100,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_3_movement_thresholds.csv,16,,05/03/2026,6,,109,sleeping,,,,
Object 6,w1118,857.74,37.78,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_3_movement_thresholds.csv,16,,05/03/2026,6,,110,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 6,w1118,485.63,,0,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_4_movement_thresholds.csv,16,,05/03/2026,7,,111,sleeping,,,,
Object 9,w1118,464.06,,0,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_4_movement_thresholds.csv,16,,05/03/2026,7,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 8,inc,1970.4,22.67,1,/home/joeh/mutantscreen_round_two/inc/sleeping/inc/sleeping_inc2_movement_thresholds.csv,16,,05/03/2026,8,,112,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 5,w1118,560.53,41.78,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_5_movement_thresholds.csv,16,,05/03/2026,9,,113,sleeping,,,,
Object 8,w1118,368.46,76.89,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_5_movement_thresholds.csv,16,,05/03/2026,9,,114,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 5,w1118,969.13,40.22,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_6_movement_thresholds.csv,16,,05/03/2026,10,,115,sleeping,,,,
Object 9,w1118,878.13,65.78,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/sleeping_w1118_for_inc_6_movement_thresholds.csv,16,,05/03/2026,10,,116,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 4,w1118,302.36,6.89,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/w1118_sleeping_for_inc_7_movement_thresholds.csv,16,,05/03/2026,11,,117,sleeping,,,,
Object 9,w1118,302.36,43.11,1,/home/joeh/mutantscreen_round_two/inc/sleeping/w1118/w1118_sleeping_for_inc_7_movement_thresholds.csv,16,,05/03/2026,11,,118,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 4,inc,10000,,,censored,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 3,inc,2588.01,29.33,1,/home/joeh/mutantscreen_round_two/inc/sleeping/inc/inc_one_sleeper_movement_thresholds.csv,17,,10/03/26,6,,119,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 3,inc,2240.8,,0,/home/joeh/mutantscreen_round_two/inc/sleeping/inc/inc_one_sleeper_again_tuesday2_movement_thresholds.csv,17,,,8,,120,sleeping,,,,
,,,,,,,,,,,,,,,,
Object 6,inc,2353.57,36.89,1,/home/joeh/mutantscreen_round_two/inc/sleeping/inc/inc_one_sleeper_again_tuesday3_movement_thresholds.csv,17,,,10,,121,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 2,inc,1945.8,16.00,1,/home/joeh/mutantscreen_round_two/inc/sleeping/inc/inc_one_sleeper_again_tuesday4_movement_thresholds.csv,17,,,10,,122,sleeping,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Object 4,inc,1040.86,18.45,1,/home/joeh/mutantscreen_round_two/inc/sleeping/inc/inc_one_sleeper_again_tuesday5_movement_thresholds.csv,17,,,11,,123,sleeping,,,,
