genotype,volume_threshold,sleep_status,state_switch,Unnamed: 4,note,data_origin,Unnamed: 7,note.1,Unnamed: 9,Unnamed: 10,sound_time,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,sound_start_time
w1118,49.11,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
w1118,89.11,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
w1118,100,awake_rested,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
w1118,32.89,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_sleep_deprived_awake_movement_thresholds.csv,,,,,,,,,,
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_sleep_deprived_awake_movement_thresholds.csv,,,,,,,,,,
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_sleep_deprived_awake_movement_thresholds.csv,,,,,,,,,,
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_sleep_deprived_awake_movement_thresholds.csv,,,,,,,,,,
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_sleep_deprived_awake_movement_thresholds.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,20.89,awake_sd,1,,,,,,,,,,,,,
w1118,0.89,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/w1118_awake_sd_movement_thresholds.csv,,,,,,,,,,100.111566305161
w1118,1.56,awake_sd,1,,,,,,,,,,,,,
w1118,33.11,awake_sd,1,,,,,,,,,,,,,
w1118,16.22,awake_sd,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,67.78,sleeping,1,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleeping_movement_thresholds (1).csv,missing,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,31.11,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/w1118_awake_sd_wednesday_night_movement_thresholds.csv,,,,,,,,,,13.044597864151
