genotype,sleep_cond,thresh,reaction,individual_slep_lat,sleep_latency,fly,time,matched_file,date,time_of_day,time_simp,day_num,proportion,mp4_file_path,mp4_link
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,67.33,1,526.065756320953,526.065756320953,27,2025-04-17 13:10:06.452309,rdl_w1118_sd_sleepin_movement_thresholds.csv,2025-04-17,13:10:06.452309,1,d9,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_sd_sleepin.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_sd_sleepin.mp4"">rdl_w1118_sd_sleepin.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,100,0,1141.57249236107,1141.57249236107,28,2025-04-17 16:00:45.393415,helicon_rdl_sleepin_movement_thresholds.csv,2025-04-17,16:00:45.393415,4,d9,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_sleepin.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_sleepin.mp4"">helicon_rdl_sleepin.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_w1118,sleeping,65.11,1,463.643099069595,463.643099069595,29,,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/same/helicon_w1118_sleepin_movement_thresholds.csv,,,4,d9,1 / 1,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/helicon_w1118_sleepin.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/helicon_w1118_sleepin.mp4"">helicon_w1118_sleepin.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
