subject,pre_average,post_average,difference,sleep_cond,genotype,file,day,baseline_mean,baseline_sd,threshold_2sd,exceeded_threshold,onset_time_threshold,time_from_18s_threshold,volume_percent_threshold,time_from_18s_sig_1s,volume_percent_sig_1s,time_from_18s_sig_2s,volume_percent_sig_2s,time_from_18s_sig_200ms,volume_percent_sig_200ms,time_from_18s_sig_500ms,volume_percent_sig_500ms,time_from_18s_2sd_200ms,volume_percent_2sd_200ms,time_from_18s_2sd_500ms,volume_percent_2sd_500ms,time_from_18s_2sd_1s,volume_percent_2sd_1s
Object3_Velocity,2.05936107386461,0.971833451646643,-1.08752762221797,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,2.06595232044721,2.60478599922326,7.27552431889372,True,20.759247303009,2.75924730300904,18.3949820200602,7,46.6666666666667,14,93.3333333333333,2.59999999999999,17.3333333333333,2.5,16.6666666666667,,,,,,
Object4_Velocity,0,0.0511244926341426,0.0511244926341426,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0,0,0,True,23.0593283176422,5.05932831764221,33.7288554509481,5,33.3333333333333,4,26.6666666666667,4.99999999999998,33.3333333333332,5,33.3333333333333,0,0,0,0,0,0
Object5_Velocity,0,1.36084612233947,1.36084612233947,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0,0,0,True,24.359245300293,6.35924530029297,42.3949686686198,6,40,6,40,6.39999999999998,42.6666666666665,6,40,0,0,0,0,0,0
Object6_Velocity,0,0.3980154405006,0.3980154405006,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0,0,0,True,30.126127243042,12.126127243042,80.8408482869466,12,80,12,80,12.2,81.333333333333,12,80,0,0,0,0,0,0
Object7_Velocity,0.0188547548887264,0.63795419598972,0.619099441100994,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0.0207139480668335,0.133124947450411,0.286963842967655,True,24.3258631229401,6.32586312294006,42.1724208196004,6,40,6,40,6.19999999999998,41.3333333333332,6,40,6.19999999999998,41.3333333333332,6,40,6,40
Object8_Velocity,0,0.623818892135944,0.623818892135944,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0,0,0,True,29.1258223056793,11.1258223056793,74.1721487045288,11,73.3333333333333,10,66.6666666666667,11,73.3333333333331,11,73.3333333333333,0,0,0,0,0,0
Object9_Velocity,0,0,0,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object1_Velocity,0,0,0,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
Object2_Velocity,0,0.141258922784699,0.141258922784699,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0,0,0,True,21.9251401424408,3.9251401424408,26.1676009496053,4,26.6666666666667,2,13.3333333333333,3.79999999999999,25.3333333333332,4,26.6666666666667,0,0,0,0,0,0
