filename,pre_onset_1_average,pre_onset_top_speed,post_onset_1_average,post_onset_top_speed,top_speed_difference,ZT,creation_time,abs_difference,cond,light_cond,genotype
W1118_Day_darkness_19.csv,15.7313095238095,33.21,2.38880952380952,13.14,-20.07,473,25.04.2024 16:53:11,20.07,W1118_dark,dark,w1118
W1118_Day_Darkness_11.csv,14.1288095238095,22.2,8.54095238095238,37.79,15.59,307,25.04.2024 14:07:25,15.59,W1118_dark,dark,w1118
W1118_Day_LIGHT_2_5pm.csv,18.3292857142857,27.74,9.97452380952381,29.79,2.05,512,23.04.2024 17:32:05,2.05,w1118_light,light,w1118
W1118_Day_light_23.csv,4.13142857142857,29.55,8.08682352941177,50.81,21.26,458,25.04.2024 16:38:48,21.26,w1118_light,light,w1118
W1118_Day_light_6.csv,9.91797619047619,49.25,4.37928571428571,21.94,-27.31,378,24.04.2024 15:18:05,27.31,w1118_light,light,w1118
W1118_Day_light_22.csv,6.96190476190476,26.35,6.23559523809524,55.14,28.79,453,25.04.2024 16:33:55,28.79,w1118_light,light,w1118
W1118_Day_light_12.csv,7.42761904761905,22.79,14.0972289156627,35.65,12.86,437,24.04.2024 16:17:27,12.86,w1118_light,light,w1118
W1118_Day_light_9.csv,4.74190476190476,15.52,1.25253012048193,24.39,8.87,397,24.04.2024 15:37:18,8.87,w1118_light,light,w1118
W1118_Day_light_10.csv,5.45488095238095,19.63,9.785,50.51,30.88,401,24.04.2024 15:41:33,30.88,w1118_light,light,w1118
W1118_Day_light_14.csv,11.1129411764706,24.86,8.10578313253012,33.42,8.56,448,24.04.2024 16:28:19,8.56,w1118_light,light,w1118
W1118_Day_light_18.csv,0,0,0.0405952380952381,3.37,3.37,418,25.04.2024 15:58:07,3.37,w1118_light,light,w1118
W1118_Day_light_5.csv,0,0,0.39289156626506,6.49,6.49,372,24.04.2024 15:12:47,6.49,w1118_light,light,w1118
W1118_Day_light_17.csv,6.6722619047619,25.59,2.43321428571429,19.07,-6.52,341,25.04.2024 14:41:53,6.52,w1118_light,light,w1118
W1118_Day_light_16.csv,0.0955952380952381,2.46,10.9394047619048,40.33,37.87,336,25.04.2024 14:36:07,37.87,w1118_light,light,w1118
W1118_Day_LIGHT_3_5pm.csv,11.3229411764706,28.29,8.80240963855422,46.4,18.11,519,23.04.2024 17:39:07,18.11,w1118_light,light,w1118
W1118_Day_light_11.csv,9.73011904761905,26.08,5.88011904761905,24.63,-1.45,406,24.04.2024 15:46:02,1.45,w1118_light,light,w1118
W1118_Day_light_13.csv,0.210470588235294,2.58,0.118214285714286,1.07,-1.51,441,24.04.2024 16:21:08,1.51,w1118_light,light,w1118
W1118_Day_light_7.csv,7.51416666666667,23.35,2.88411764705882,27.47,4.12,385,24.04.2024 15:25:25,4.12,w1118_light,light,w1118
W1118_Day_light_21.csv,9.51469879518072,26.03,4.30488095238095,22.62,-3.41,440,25.04.2024 16:20:49,3.41,w1118_light,light,w1118
W1118_Day_LIGHT_1_5pm.csv,12.8323529411765,41.37,7.78771084337349,59.12,17.75,503,23.04.2024 17:23:27,17.75,w1118_light,light,w1118
W1118_Day_light_8.csv,16.5083333333333,49.64,8.38952380952381,30,-19.64,390,24.04.2024 15:30:58,19.64,w1118_light,light,w1118
W1118_Day_light_20.csv,9.2825,28.34,8.97571428571429,66.14,37.8,430,25.04.2024 16:10:23,37.8,w1118_light,light,w1118
W1118_Day_LIGHT_4_5pm.csv,0,0,0,0,0,533,23.04.2024 17:53:25,0,w1118_light,light,w1118
